"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
10,100,-0.5,2,0.443797619047619,0,-0.0443797619047619,-0.169,"Constant death"
100,100,-0.5,2,0.385363044274297,0,-0.0385363044274297,-2.996,"Constant death"
10,10,-0.1,2,0.346031746031746,0,-0.0346031746031746,-0.16,"Constant death"
100,10,-0.1,2,0.59223347595754,0.06,-0.053223347595754,-2.44,"Constant death"
10,100,-0.1,2,0.597896825396825,0,-0.0597896825396825,-0.312,"Constant death"
100,100,-0.1,2,0.568349339543348,0,-0.0568349339543348,-2.913,"Constant death"
10,10,-0.9,2.2,0.400119047619048,0,-0.0400119047619048,-0.22,"Positive DD"
100,10,-0.9,2.2,0.0553489300794663,0,-0.00553489300794663,-0.51,"Positive DD"
10,100,-0.9,2.2,0.232559523809524,0,-0.0232559523809524,-0.163,"Positive DD"
100,100,-0.9,2.2,0.0626296437339461,0,-0.00626296437339461,-0.601,"Positive DD"
10,10,-0.5,2.2,0.393134920634921,0.1,-0.0293134920634921,-0.14,"Positive DD"
100,10,-0.5,2.2,0.109253275225021,0,-0.0109253275225021,-0.91,"Positive DD"
10,100,-0.5,2.2,0.408579365079365,0,-0.0408579365079365,-0.246,"Positive DD"
100,100,-0.5,2.2,0.111281749187182,0,-0.0111281749187182,-0.966,"Positive DD"
10,10,-0.1,2.2,0.547857142857143,0.2,-0.0347857142857143,-0.03,"Positive DD"
100,10,-0.1,2.2,0.231091098667996,0.01,-0.0221091098667996,-1.65,"Positive DD"
10,100,-0.1,2.2,0.448642857142857,0,-0.0448642857142857,-0.19,"Positive DD"
100,100,-0.1,2.2,0.158196586279876,0,-0.0158196586279876,-1.213,"Positive DD"
10,10,-0.9,2.4,0.139444444444444,0,-0.0139444444444444,-0.13,"Positive DD"
100,10,-0.9,2.4,0.00407132549989693,0,-0.000407132549989693,-0.04,"Positive DD"
10,100,-0.9,2.4,0.0896468253968254,0,-0.00896468253968254,-0.079,"Positive DD"
100,100,-0.9,2.4,0.00758664766750186,0,-0.000758664766750186,-0.075,"Positive DD"
10,10,-0.5,2.4,0.281746031746032,0,-0.0281746031746032,-0.16,"Positive DD"
100,10,-0.5,2.4,0.0178988002567601,0,-0.00178988002567601,-0.17,"Positive DD"
10,100,-0.5,2.4,0.233654761904762,0,-0.0233654761904762,-0.161,"Positive DD"
100,100,-0.5,2.4,0.0172368170119541,0,-0.00172368170119541,-0.163,"Positive DD"
10,10,-0.1,2.4,0.447738095238095,0,-0.0447738095238095,-0.27,"Positive DD"
100,10,-0.1,2.4,0.0856719590591256,0,-0.00856719590591256,-0.65,"Positive DD"
10,100,-0.1,2.4,0.248416666666667,0,-0.0248416666666667,-0.177,"Positive DD"
100,100,-0.1,2.4,0.118039283178601,0,-0.0118039283178601,-0.986,"Positive DD"
10,10,-0.9,2.6,0.01,0,-0.001,-0.01,"Positive DD"
100,10,-0.9,2.6,0,0,0,0,"Positive DD"
10,100,-0.9,2.6,0.0447222222222222,0,-0.00447222222222222,-0.042,"Positive DD"
100,100,-0.9,2.6,0.0013030303030303,0,-0.00013030303030303,-0.013,"Positive DD"
10,10,-0.5,2.6,0.0922222222222222,0,-0.00922222222222222,-0.08,"Positive DD"
100,10,-0.5,2.6,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.5,2.6,0.132246031746032,0,-0.0132246031746032,-0.098,"Positive DD"
100,100,-0.5,2.6,0.00440909090909091,0,-0.000440909090909091,-0.044,"Positive DD"
10,10,-0.1,2.6,0.255357142857143,0,-0.0255357142857143,-0.19,"Positive DD"
100,10,-0.1,2.6,0.046270689616833,0,-0.0046270689616833,-0.41,"Positive DD"
10,100,-0.1,2.6,0.350007936507936,0,-0.0350007936507937,-0.221,"Positive DD"
100,100,-0.1,2.6,0.101184020998848,0,-0.0101184020998848,-0.963,"Positive DD"
10,10,-0.9,2.8,0.01,0,-0.001,-0.01,"Positive DD"
100,10,-0.9,2.8,0,0,0,0,"Positive DD"
10,100,-0.9,2.8,0.0515555555555556,0,-0.00515555555555556,-0.051,"Positive DD"
100,100,-0.9,2.8,1e-04,0,-1e-05,-0.001,"Positive DD"
10,10,-0.5,2.8,0.0911111111111111,0,-0.00911111111111111,-0.08,"Positive DD"
100,10,-0.5,2.8,0,0,0,0,"Positive DD"
10,100,-0.5,2.8,0.0893174603174603,0,-0.00893174603174603,-0.084,"Positive DD"
100,100,-0.5,2.8,0.0016,0,-0.00016,-0.016,"Positive DD"
10,10,-0.1,2.8,0.233928571428571,0,-0.0233928571428571,-0.17,"Positive DD"
100,10,-0.1,2.8,0.0372566887158306,0,-0.00372566887158306,-0.35,"Positive DD"
10,100,-0.1,2.8,0.306400793650794,0,-0.0306400793650794,-0.223,"Positive DD"
